,Country or region,Overall rank,Score,Whisker.high,Whisker.low,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia.Residual
92,Somalia,93,5.151000022888179,5.24248370990157,5.0595163358748,0.0226431842893362,0.7211513519287109,0.11398913711309401,0.602126955986023,0.291631311178207,0.28241032361984303,3.11748456954956
93,Vietnam,94,5.07399988174438,5.14728076457977,5.000718998909,0.7885475754737851,1.27749133110046,0.6521689891815191,0.571055591106415,0.23496805131435397,0.0876332372426987,1.46231865882874
94,Nigeria,95,5.07399988174438,5.209500135481361,4.93849962800741,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.23094719648361198,0.0261215660721064,2.36539053916931
95,Tajikistan,96,5.04099988937378,5.11142559587956,4.970574182868,0.524713635444641,1.27146327495575,0.5292351245880129,0.47156670689582797,0.24899764358997303,0.14637714624404902,1.8490493297576898
96,Bhutan,97,5.01100015640259,5.07933456212282,4.94266575068235,0.885416388511658,1.3401265144348102,0.495879292488098,0.5015376806259161,0.474054545164108,0.17338038980960802,1.14018440246582
97,Kyrgyzstan,98,5.0040001869201705,5.089919903129339,4.918080470710991,0.5962200760841371,1.39423859119415,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,1.5367231369018601
98,Nepal,99,4.961999893188481,5.06735607936978,4.856643707007169,0.479820191860199,1.17928326129913,0.504130780696869,0.44030594825744607,0.39409616589546204,0.0729755461215973,1.8912410736084
99,Mongolia,100,4.95499992370605,5.021679509133099,4.88832033827901,1.0272358655929599,1.4930112361908001,0.557783484458923,0.39414396882057207,0.338464230298996,0.0329022891819477,1.1112923622131299
100,South Africa,101,4.8289999961853,4.92943518772721,4.72856480464339,1.05469870567322,1.38478863239288,0.18708007037639604,0.479246735572815,0.13936237990856198,0.0725094974040985,1.51090860366821
101,Tunisia,102,4.80499982833862,4.88436700701714,4.725632649660111,1.00726580619812,0.8683514595031742,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,1.8902511596679699
102,Palestinian Territories,103,4.77500009536743,4.88184834256768,4.66815184816718,0.716249227523804,1.1556471586227401,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,1.8788902759552
103,Egypt,104,4.7350001335144,4.82513378962874,4.644866477400059,0.989701807498932,0.997471392154694,0.520187258720398,0.28211015462875394,0.128631442785263,0.114381365478039,1.70216107368469
104,Bulgaria,105,4.71400022506714,4.8036947064101705,4.62430574372411,1.1614590883255,1.4343794584274299,0.708217680454254,0.28923171758651695,0.113177694380283,0.0110515309497714,0.996139287948608
105,Sierra Leone,106,4.70900011062622,4.85064333498478,4.56735688626766,0.36842092871666,0.984136044979095,0.005564753897488121,0.318697690963745,0.293040901422501,0.0710951760411263,2.66845989227295
106,Cameroon,107,4.69500017166138,4.79654085725546,4.5934594860672995,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.23629845678806302,0.0513066314160824,2.3336455821991
107,Iran,108,4.69199991226196,4.79822470769286,4.585775116831059,1.15687310695648,0.7115512490272521,0.639333188533783,0.24932260811328896,0.387242913246155,0.048761073499918005,1.49873495101929
108,Albania,109,4.64400005340576,4.75246400639415,4.53553610041738,0.996192753314972,0.8036852478981021,0.731159746646881,0.381498634815216,0.20131294429302202,0.0398642159998417,1.49044156074524
109,Bangladesh,110,4.60799980163574,4.68982165828347,4.52617794498801,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.17225535213947304,0.123717859387398,1.9787361621856698
110,Namibia,111,4.57399988174438,4.770354740917679,4.37764502257109,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,1.4818902015686002
111,Kenya,112,4.55299997329712,4.65569159060717,4.450308355987071,0.560479462146759,1.0679507255554201,0.30998834967613204,0.45276376605033897,0.444860309362411,0.0646413192152977,1.6519021987915001
112,Mozambique,113,4.550000190734861,4.774102326333519,4.3258980551362,0.23430564999580397,0.870701014995575,0.10665443539619399,0.48079109191894503,0.322228103876114,0.17943638563156103,2.3556509017944305
113,Myanmar,114,4.54500007629395,4.61473994642496,4.47526020616293,0.36711055040359497,1.12323594093323,0.397522568702698,0.514492034912109,0.8380751609802249,0.188816204667091,1.11529040336609
114,Senegal,115,4.53499984741211,4.6016037812829005,4.468395913541321,0.479309022426605,1.17969191074371,0.409362852573395,0.37792226672172496,0.183468893170357,0.11546044796705199,1.78964614868164
115,Zambia,116,4.513999938964839,4.64410550147295,4.38389437645674,0.6364067792892459,1.00318729877472,0.25783589482307395,0.461603492498398,0.249580144882202,0.0782135501503944,1.82670545578003
116,Iraq,117,4.49700021743774,4.62259140968323,4.37140902519226,1.1027104854583702,0.978613197803497,0.501180469989777,0.288555532693863,0.19963726401329,0.10721575468778599,1.31890726089478
117,Gabon,118,4.46500015258789,4.5573617656529,4.37263853952289,1.1982102394104,1.1556202173233001,0.35657858848571794,0.31232857704162603,0.0437853783369064,0.0760467872023582,1.3229162693023702
118,Ethiopia,119,4.46000003814697,4.54272867664695,4.377271399646999,0.339233845472336,0.8646692037582401,0.35340970754623396,0.408842742443085,0.31265074014663696,0.16545571386814098,2.01574373245239
119,Sri Lanka,120,4.44000005722046,4.55344719231129,4.32655292212963,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.49086356163024897,0.0736539661884308,0.41938924789428705
120,Armenia,121,4.37599992752075,4.46673461228609,4.28526524275541,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,1.5214991569518999
121,India,122,4.31500005722046,4.37152201749384,4.25847809694707,0.7922212481498722,0.754372596740723,0.455427616834641,0.469987004995346,0.23153848946094502,0.0922268852591515,1.5191171169281
122,Mauritania,123,4.29199981689453,4.37716361626983,4.20683601751924,0.6484572887420649,1.2720308303833001,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328,1.65163731575012
123,Congo (Brazzaville),124,4.29099988937378,4.41005350500345,4.17194627374411,0.8089642524719242,0.8320443630218509,0.28995743393898,0.4350258708000179,0.12085212767124198,0.0796181336045265,1.7241356372833299
